iter	Passed	Remaining
0	13	13638
1	29	14879
2	42	14269
3	58	14630
4	74	14909
5	88	14692
6	101	14421
7	115	14368
8	130	14414
9	147	14616
10	160	14408
11	178	14662
12	190	14488
13	202	14269
14	216	14247
15	235	14471
16	249	14455
17	263	14350
18	621	32107
19	635	31121
20	647	30204
21	661	29424
22	674	28671
23	688	28002
24	700	27325
25	711	26661
26	723	26089
27	735	25532
28	746	25001
29	756	24457
30	769	24043
31	780	23609
32	792	23220
33	802	22811
34	814	22463
35	826	22144
36	837	21796
37	848	21489
38	860	21212
39	873	20969
40	887	20769
41	898	20505
42	910	20269
43	924	20078
44	934	19832
45	945	19606
46	960	19480
47	978	19408
48	993	19274
49	1004	19078
50	1014	18886
51	1028	18754
52	1040	18588
53	1053	18457
54	1065	18300
55	1076	18149
56	1086	17969
57	1098	17833
58	1110	17709
59	1122	17582
60	1133	17442
61	1145	17325
62	1156	17199
63	1167	17070
64	1179	16972
65	1190	16846
66	1201	16730
67	1212	16621
68	1224	16525
69	1235	16412
70	1247	16328
71	1258	16219
72	1269	16118
73	1282	16046
74	1293	15954
75	1304	15856
76	1316	15779
77	1327	15691
78	1337	15595
79	1349	15514
80	1361	15448
81	1374	15392
82	1385	15312
83	1396	15228
84	1408	15158
85	1421	15106
86	1432	15034
87	1444	14965
88	1455	14901
89	1470	14866
90	1482	14813
91	1497	14782
92	1511	14743
93	1524	14689
94	1537	14645
95	1550	14598
96	1562	14543
97	1576	14508
98	1593	14499
99	1608	14476
100	1626	14475
101	1641	14454
102	1686	14685
103	1700	14649
104	1713	14601
105	1726	14562
106	1740	14524
107	1753	14481
108	1769	14464
109	1780	14405
110	1794	14369
111	1807	14327
112	1818	14272
113	1832	14244
114	1845	14202
115	1860	14174
116	1873	14141
117	1889	14119
118	1902	14087
119	1918	14068
120	1933	14044
121	1946	14010
122	1965	14013
123	1979	13987
124	1995	13966
125	2009	13936
126	2022	13904
127	2038	13889
128	2053	13867
129	2067	13839
130	2077	13783
131	2088	13735
132	2102	13708
133	2116	13678
134	2128	13641
135	2142	13611
136	2156	13584
137	2169	13552
138	2181	13514
139	2196	13490
140	2209	13460
141	2223	13436
142	2238	13413
143	2252	13390
144	2264	13352
145	2276	13314
146	2290	13292
147	2302	13254
148	2313	13216
149	2326	13182
150	2337	13145
151	2350	13115
152	2363	13082
153	2374	13046
154	2387	13017
155	2399	12980
156	2411	12948
157	2423	12914
158	2436	12889
159	2450	12863
160	2463	12838
161	2475	12807
162	2488	12779
163	2500	12748
164	2515	12730
165	2527	12696
166	2539	12668
167	2552	12642
168	2565	12613
169	2577	12584
170	2588	12547
171	2600	12520
172	2612	12489
173	2622	12447
174	2631	12407
175	2642	12370
176	2654	12344
177	2666	12313
178	2677	12281
179	2691	12259
180	2704	12238
181	2717	12212
182	2753	12294
183	2765	12266
184	2779	12243
185	2792	12221
186	2807	12205
187	2819	12178
188	2831	12149
189	2842	12119
190	2854	12089
191	2864	12056
192	2876	12026
193	2887	11996
194	2900	11972
195	2911	11943
196	2921	11910
197	2934	11886
198	2947	11863
199	2961	11847
200	2975	11826
201	2988	11807
202	2999	11774
203	3011	11751
204	3025	11732
205	3038	11712
206	3064	11737
207	3077	11717
208	3089	11694
209	3100	11662
210	3110	11630
211	3123	11609
212	3136	11587
213	3146	11556
214	3157	11527
215	3169	11503
216	3182	11484
217	3197	11469
218	3208	11442
219	3223	11428
220	3236	11407
221	3248	11384
222	3259	11357
223	3273	11340
224	3285	11318
225	3297	11292
226	3309	11270
227	3320	11244
228	3331	11217
229	3342	11191
230	3355	11171
231	3367	11147
232	3379	11126
233	3394	11112
234	3406	11087
235	3418	11066
236	3430	11045
237	3441	11017
238	3453	10995
239	3465	10972
240	3476	10949
241	3488	10925
242	3498	10899
243	3510	10875
244	3521	10852
245	3531	10825
246	3543	10802
247	3554	10778
248	3567	10760
