iter	Passed	Remaining
0	25	18110
1	51	18333
2	77	18185
3	103	18288
4	129	18215
5	153	17989
6	176	17795
7	201	17692
8	226	17667
9	249	17512
10	275	17500
11	301	17545
12	325	17487
13	350	17427
14	373	17315
15	399	17335
16	422	17257
17	446	17185
18	470	17143
19	495	17111
20	519	17061
21	543	17015
22	568	16991
23	593	16977
24	618	16967
25	643	16966
26	667	16922
27	692	16901
28	717	16862
29	744	16897
30	768	16857
31	793	16847
32	818	16817
33	849	16914
34	878	16964
35	911	17085
36	939	17122
37	969	17161
38	998	17206
39	1028	17252
40	1055	17248
41	1082	17244
42	1108	17217
43	1136	17222
44	1162	17209
45	1191	17228
46	1217	17206
47	1245	17208
48	1272	17188
49	1298	17167
50	1323	17128
51	1350	17113
52	1377	17100
53	1401	17046
54	1425	17000
55	1450	16970
56	1477	16951
57	1504	16940
58	1530	16910
59	1554	16868
60	1578	16820
61	1603	16780
62	1630	16773
63	1659	16771
64	1687	16772
65	1714	16758
66	1741	16737
67	1765	16695
68	1794	16693
69	1819	16663
70	1843	16621
71	1869	16595
72	1896	16576
73	1922	16551
74	1949	16531
75	1974	16498
76	1998	16451
77	2022	16414
78	2049	16393
79	2076	16377
80	2102	16353
81	2126	16313
82	2153	16293
83	2175	16242
84	2199	16200
85	2224	16168
86	2250	16144
87	2275	16107
88	2299	16072
89	2323	16031
90	2350	16015
91	2375	15986
92	2401	15955
93	2424	15915
94	2451	15893
95	2475	15861
96	2501	15835
97	2530	15827
98	2558	15818
99	2587	15811
100	2612	15775
101	2639	15758
102	2665	15735
103	2691	15710
104	2718	15688
105	2743	15659
106	2768	15630
107	2794	15600
108	2820	15576
109	2844	15542
110	2870	15515
111	2899	15508
112	2927	15490
113	2956	15484
114	2983	15462
115	3008	15433
116	3035	15411
117	3061	15384
118	3085	15351
119	3110	15318
120	3138	15304
121	3162	15266
122	3187	15239
123	3213	15214
124	3237	15177
125	3263	15152
126	3291	15134
127	3315	15102
128	3343	15085
129	3377	15093
130	3408	15091
131	3438	15081
132	3465	15061
133	3491	15034
134	3517	15009
135	3545	14988
136	3570	14960
137	3597	14937
138	3624	14914
139	3651	14892
140	3678	14869
141	3702	14837
142	3726	14802
143	3751	14771
144	3775	14737
145	3801	14709
146	3825	14677
147	3849	14643
148	3874	14614
149	3900	14589
150	3925	14557
151	3951	14532
152	3981	14519
153	4008	14498
154	4038	14487
155	4067	14472
156	4096	14456
157	4124	14435
158	4154	14422
159	4183	14408
160	4213	14392
161	4241	14374
162	4271	14360
163	4302	14351
164	4331	14334
165	4361	14318
166	4391	14306
167	4419	14285
168	4448	14265
169	4476	14245
170	4506	14231
171	4534	14209
172	4564	14194
173	4593	14176
174	4621	14155
175	4649	14132
176	4680	14119
177	4709	14100
178	4738	14081
179	4763	14053
180	4789	14024
181	4820	14012
182	4846	13983
183	4877	13968
184	4905	13948
185	4935	13929
186	4963	13908
187	4995	13896
188	5027	13885
189	5070	13904
190	5097	13877
191	5123	13849
192	5151	13826
193	5181	13809
194	5209	13785
195	5236	13758
196	5260	13725
197	5281	13683
198	5306	13653
199	5332	13624
200	5359	13598
201	5387	13574
202	5410	13539
203	5439	13519
204	5469	13499
205	5502	13489
206	5532	13469
207	5557	13439
208	5576	13393
209	5601	13362
210	5622	13323
211	5647	13292
212	5670	13258
213	5697	13232
214	5721	13198
215	5745	13166
216	5769	13133
217	5791	13097
218	5816	13067
219	5842	13039
220	5868	13011
221	5895	12986
222	5923	12961
223	5948	12932
224	5974	12904
225	6000	12878
226	6023	12843
227	6048	12813
228	6072	12782
229	6097	12752
230	6123	12723
231	6140	12678
232	6168	12655
233	6195	12628
234	6223	12605
235	6252	12583
236	6281	12563
237	6308	12538
238	6333	12508
239	6361	12484
240	6388	12459
241	6419	12441
242	6449	12421
243	6480	12403
244	6509	12381
245	6538	12359
246	6566	12334
247	6594	12310
248	6621	12285
249	6648	12259
250	6676	12236
251	6702	12208
252	6730	12184
253	6759	12161
254	6786	12135
255	6813	12109
256	6838	12081
257	6873	12067
258	6905	12050
259	6937	12033
260	6967	12013
261	6998	11994
262	7031	11977
263	7053	11942
264	7083	11921
265	7109	11893
266	7136	11866
267	7158	11832
268	7184	11804
269	7207	11772
270	7231	11740
271	7256	11711
272	7273	11670
273	7297	11639
274	7321	11607
275	7349	11582
276	7376	11556
277	7402	11530
278	7430	11505
279	7458	11481
280	7477	11442
281	7504	11415
282	7529	11387
283	7555	11359
284	7583	11334
285	7607	11305
286	7632	11275
287	7657	11246
288	7681	11216
289	7707	11189
290	7733	11161
291	7758	11133
292	7783	11104
293	7809	11076
294	7837	11052
295	7863	11024
296	7891	10999
297	7912	10966
298	7937	10936
299	7962	10909
300	7987	10879
301	8012	10851
302	8041	10828
303	8066	10800
304	8092	10772
305	8120	10747
306	8145	10719
307	8172	10692
308	8197	10664
309	8223	10637
310	8252	10613
311	8275	10583
312	8299	10553
313	8323	10524
314	8347	10493
315	8370	10463
316	8396	10435
317	8423	10410
318	8450	10384
319	8470	10350
320	8496	10322
321	8522	10295
322	8549	10270
323	8573	10240
324	8598	10212
325	8628	10190
326	8662	10171
327	8691	10148
328	8717	10121
329	8743	10094
330	8770	10069
331	8794	10039
332	8822	10014
333	8847	9987
334	8875	9961
335	8901	9935
336	8928	9908
337	8953	9880
338	8979	9854
339	9005	9826
340	9030	9798
341	9060	9775
342	9084	9746
343	9108	9717
344	9133	9689
345	9159	9662
346	9184	9634
347	9208	9605
348	9235	9579
349	9258	9549
350	9276	9514
351	9301	9486
352	9327	9459
353	9353	9432
354	9378	9405
355	9404	9378
356	9430	9351
357	9457	9325
358	9482	9298
359	9504	9267
360	9529	9238
361	9553	9210
362	9578	9182
363	9602	9154
364	9624	9123
365	9648	9094
366	9671	9065
367	9696	9037
368	9721	9009
369	9746	8982
370	9767	8951
371	9791	8922
372	9814	8893
373	9839	8866
374	9864	8838
375	9890	8812
376	9915	8784
377	9933	8750
378	9956	8721
379	9973	8687
380	9996	8658
381	10014	8625
382	10038	8596
383	10060	8566
384	10081	8536
385	10099	8503
386	10125	8477
387	10150	8450
388	10168	8417
389	10191	8388
390	10214	8360
391	10236	8330
392	10260	8302
393	10284	8274
394	10308	8246
395	10332	8219
396	10357	8191
397	10382	8164
398	10407	8138
399	10438	8115
400	10461	8087
401	10490	8063
